date,gold_close,gold_open,gold_high,gold_low,silver_close,silver_open,silver_high,silver_low,gpr_level,gpr_war,gpr_terrorism,gpr_economic,gpr_political,gpr_nuclear,gpr_trade,gpr_sanctions,gpr_pandemic,event_count,composite_risk,risk_regime_encoded,gpr_ma7,gpr_ma30,gpr_ma90,gpr_momentum,gpr_volatility,gpr_spike,pandemic_severity,pandemic_phase_encoded,is_pandemic,is_lockdown,is_post_pandemic,gold_return,gold_lag1,gold_lag7,gold_lag14,gold_lag30,gold_ma7,gold_ma14,gold_ma30,gold_ma60,gold_ema7,gold_ema14,gold_ema30,gold_rsi,gold_macd,gold_bb_pct,gold_volatility,gs_ratio,gs_ratio_ma7,gs_ratio_ma30,day_of_week,month,quarter,year,target,vix,dxy,oil,us10y,vix_ma7,vix_ma30,vix_change,high_vix,dxy_ma7,dxy_ma30,dxy_change,dxy_momentum,oil_ma7,oil_ma30,oil_change,oil_volatility,us10y_ma7,us10y_ma30,us10y_change,rate_trend,fear_index,gold_oil_ratio,price,Volume
2010-02-01,1107.35,1080.1,1107.9,1076.8,16.7,16.17,16.7,16.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.30838323353294,0.0,0.0,0,2,1,2010,1072.85,22.59000015258789,79.23999786376953,74.43000030517578,3.6540000438690186,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.900315638336178,14.87573878909571,,
2010-02-02,1115.2,1105.8,1118.35,1099.0,16.7,16.64,16.81,16.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0070889962523141,1107.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1107.35,1107.35,1107.35,0.0,0.0,0.0,0.0,66.77844311377245,0.0,0.0,1,2,1,2010,1095.35,21.479999542236328,79.01000213623047,77.2300033569336,3.634999990463257,0.0,0.0,-0.0491368128753377,0,0.0,0.0,-0.0029025206176112,0.0,0.0,0.0,0.037619280401415,0.0,0.0,0.0,-0.0051997956151208,0.0,16.971348097183217,14.438114338842684,,
2010-02-03,1109.65,1114.4,1124.85,1107.2,16.38,16.67,16.95,16.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0049766857962696,1115.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1111.8357142857144,1111.555357142857,1111.4058333333337,0.0,0.1761217948719604,0.0,0.0,67.74420024420026,0.0,0.0,2,2,1,2010,1093.4,21.600000381469727,79.37000274658203,76.9800033569336,3.703000068664551,0.0,0.0,0.0055866313682846,0,0.0,0.0,0.0045563928694856,0.0,0.0,0.0,-0.0032370838939961,0.0,0.0,0.0,0.0187070366931769,0.0,17.143920896034253,14.41291013919753,,
2010-02-04,1063.45,1109.3,1111.1,1059.5,15.29,16.35,16.41,15.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0416347496958501,1109.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1110.8905405405408,1110.8275042444825,1110.781118104406,0.0,0.0523089566186172,0.0,0.0,69.55199476782211,0.0,0.0,3,2,1,2010,1101.0,26.07999992370605,79.91999816894531,73.13999938964844,3.609999895095825,0.0,0.0,0.2074073825516986,1,0.0,0.0,0.0069295124521961,0.0,0.0,0.0,-0.049883135877251,0.0,0.0,0.0,-0.0251148182134021,0.0,20.843135461486817,14.537935869764208,,
2010-02-05,1065.45,1063.15,1069.15,1044.25,15.16,15.24,15.38,14.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0018806713996897,1063.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1093.5408571428572,1096.3333892313271,1097.73967027377,0.0,-1.6733189124606724,0.0,0.0,70.28034300791558,0.0,0.0,4,2,1,2010,1119.95,26.11000061035156,80.44000244140625,71.19000244140625,3.5460000038146973,0.0,0.0,0.0011503330802635,1,0.0,0.0,0.0065065601147997,0.0,0.0,0.0,-0.0266611562006408,0.0,0.0,0.0,-0.017728502255103,0.0,21.002885128417983,14.964184880145302,,
2010-02-08,1063.75,1067.4,1073.9,1061.9,15.03,15.11,15.31,14.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0015955699469708,1065.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1084.3330985915495,1088.2759602352082,1090.3929885210673,0.0,-2.4961871071798214,0.0,0.0,70.77511643379907,0.0,0.0,0,2,1,2010,1115.2,26.51000022888184,80.30000305175781,71.88999938964844,3.5920000076293945,0.0,0.0,0.0153197858743707,1,0.0,0.0,-0.0017404200074511,0.0,0.0,0.0,0.0098327984862527,0.0,0.0,0.0,0.0129723642879897,0.0,21.28753099281312,14.794854089430627,,
2010-02-09,1077.3,1062.95,1083.45,1061.8,15.45,14.98,15.59,14.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0127379553466508,1063.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1078.073195723196,1082.6010902956452,1085.18070750938,0.0,-3.0166154627245305,0.0,0.0,69.72815533980582,0.0,0.0,1,2,1,2010,1123.9,26.0,79.86000061035156,73.75,3.632999897003174,24.338571548461918,0.0,-0.0192380318550962,1,79.73428671700614,0.0,-0.0054794822501145,0.0,74.08714403424945,0.0,0.0258728700256378,0.0,3.624714272362845,0.0,0.0114142230753606,0.0,20.763600158691407,14.60547722342733,,
2010-02-10,1072.85,1077.45,1082.5,1063.5,15.24,15.42,15.64,15.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0041306971131532,1077.3,1107.35,0.0,0.0,1086.0214285714285,0.0,0.0,0.0,1077.850119743608,1081.484038174038,1083.8176878048143,0.0,-2.684573252304517,0.0,0.0,70.39698162729658,68.73809087726404,0.0,2,2,1,2010,1118.85,25.399999618530277,80.02999877929688,74.5199966430664,3.694000005722046,24.74000004359654,0.0,-0.0230769377488356,1,79.8471439906529,0.0,0.0021287023246439,0.7900009155273438,74.1000006539481,0.0,0.0104406324483581,0.0,3.630428552627564,0.0,0.0167905616427874,0.0,20.32761938465119,14.39487519552717,,
2010-02-11,1095.35,1072.0,1098.15,1071.35,15.67,15.19,15.73,15.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0209721769119635,1072.85,1115.2,0.0,0.0,1081.0928571428572,0.0,0.0,0.0,1076.4610233149642,1079.7953474448552,1082.106334553882,0.0,-2.630405534431248,0.0,0.0,69.90108487555838,69.3221763620874,0.0,3,2,1,2010,1113.7,23.959999084472656,79.98999786376953,75.27999877929688,3.733000040054321,25.094285692487443,0.0,-0.0566929352631596,0,79.98714338030133,0.0,-0.0004998240177118,0.9799957275390624,73.82142857142857,0.0,0.0101986335274637,0.0,3.644428559712001,0.0,0.0105576703497194,0.0,19.16560275582888,14.54841303970372,,
2010-02-12,1093.4,1096.7,1097.35,1078.55,15.54,15.64,15.74,15.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.0017802528872048,1095.35,1109.65,0.0,0.0,1078.2571428571428,0.0,0.0,0.0,1081.5666195800563,1082.6593205533695,1083.9995549361272,0.0,-1.4365657651235324,0.0,0.0,70.36036036036037,69.76826804234254,0.0,4,2,1,2010,1102.05,22.729999542236328,80.31999969482422,74.12999725341797,3.693000078201294,25.25571414402553,0.0,-0.0513355421216786,0,80.12285723005023,0.0,0.0041255386906837,0.9499969482421876,73.41428484235492,0.0,-0.0152763223236817,0.0,3.642999989645822,0.0,-0.0107152320985363,0.0,18.256735562957765,14.747775027056568,,
